name,appearance,original_habitat,modern_location,source_excerpt,source_translation,abilities,symbolism,category,mountain_location,chapter
留牛,状如复牛，似虎文,东山,山东省,其状如复牛,形状像复牛,未知,未知,兽类,东,山经
鳃,冬死而夏生,未知,未知,冬死而夏生,冬天死亡夏天复活,冬眠;夏苏,生命循环;季节更替,鱼类与水生生物,未知,未知
上类,状如猩而有芭,齐爱之山,山东省,其状如猩而有芭,形状像猩猩有芭,未知,未知,兽类,未知,未知
赤鲜,盖人人鱼之类,未知,四川省;云南省,赤鲜，盖人人鱼之类,类似人鱼,无,无,鱼类与水生生物,未知,未知
旋龟,形似普通乌龟，鸟头，毒蛇尾,棚阳山,湖南省;江西省,形状像普通乌龟，却长着鸟的头和毒蛇样的尖锐的尾巴,形似乌龟，鸟头蛇尾,佩戴可治耳疾和足底老茧,治病驱邪,鱼类与水生生物,东,山经
猫施,形似羊，九尾，四耳，眼睛生在背上,基山,青海省;四川省,形状像羊，长有九条尾巴，四只耳朵，眼睛生在背上,形似羊，九尾四耳，眼在背上,佩戴皮毛可使人不恐惧,驱除恐惧,兽类,东,山经
煌售,形似鸡，三头，六眼，六腿，三翅,基山,河南省;山东省,形状像鸡，却长了三个脑袋，六只眼睛，六条腿，三只翅膀,形似鸡，三头六眼六腿三翅,吃了可使人精神兴奋，睡不着觉,提神醒脑,鸟类,东,山经
赤铺,形状像旬，有一张人样的脸,英水,广东省,水中多产人鱼类的赤铺，形状像旬而有着一张人样的脸,形状像旬，有人脸,吃了它可以不生闻疮,治愈与保护,鱼类与水生生物,未知,山经
狸力,形状像豚，有距,柜山,山东省;浙江省;福建省,有兽需，其状如豚，有距，其音如狗嘱，其名上狸力,形状像豚，有距，声音像狗,见则其县多土功,劳动与建设,兽类,西,山经
特,形状像鸭而人手,柜山,山东省;江苏省,有鸟大，其状如鸭而人手，其音如疗，其名目特,形状像鸭，有人手,见则其县多放士,自由与放逐,鸟类,西,山经
长右王,形状像遇而四耳,长右之山,四川省;云南省,有兽焉，其状如遇而四耳，其名长右王，其音如吟驴,形状像遇，有四耳，声音像驴,见则郡县大水,洪水与灾难,兽类,东,山经
昕独惠,状如人而葛岩，穴居而冬霍,尧光之山,山西省;山东省,"有兽焉, 其状如人而葛岩, 穴居而冬霍, 其名昕独惠",有一种兽，形状像人，住在洞穴里，冬天会冬眠,冬眠,未知,兽类,南,山经
葛,状如虎而牛尾，音如员犬,浮玉之山,浙江省,有普天，其状如虎而牛尾，其音如员犬，其名日葛，是食人,有一种兽，形状像虎，尾巴像牛，声音像狗，名叫葛，会吃人,食人,凶兽之象;食人恶兽,兽类,东,山经
尊,状如羊而无口,淘山,山东省;河南省,有兽囊，其状如羊而无口，不可杀也，甚名目尊,有一种兽，形状像羊但没有口，无法被杀死，名叫尊,无法被杀死,未知,兽类,东,山经
昌串雕,形状像雕但有角,鹿吴之山,浙江省;江苏省,其状如雕而有角，其音如婴儿之音，是食人,形状像雕但有角，声音像婴儿，吃人,食人,凶猛的象征,混合形态或超自然生物,南,山经
些鱼,狭薄而长头，大者尺余,太湖,江苏省苏州市西南太湖,些鱼狭薄而长头，大者尺余，太湖中今饶之，一名刀鱼,些鱼身体狭长，头部较大，生活在太湖中,无特殊能力,无特殊象征意义,鱼类与水生生物,未知,未知
猩力,形状像小猪，长着一对鸡足，声音像狗叫,柜山,山东省;江苏省,有一种兽，形状像小猪，长着一对鸡足，它的声音像狗叫，它的名字叫猩力,形状像小猪，有鸡足，叫声像狗,预示繁重的水土工程,预示水土工程,兽类,西,山经
长右,形状像长尾狼，长着四只耳朵,长在山,吉林省,形状像长尾狼，长着四只耳傈，它的名字叫长右，它的声音像人别吟，它所出现的郡县，定会发生大水灾,长右出现的地方会发大水,预示水灾,水灾的预兆,兽类,东南,山经
猎训,形状像人，长着猪样的刚硬霹毛,翘光山,新疆维吾尔自治区,形状像人，却长着猪样的刚硬霹毛，住在山洞里，一到冬天便垫伏起来，它的名字叫猎训，它的声音像砍木头，它所出现的那个县，一定会有大的特和投,猎训出现的地方会有大灾,预示灾难,灾难的预兆,兽类,东,山经
黄,形状像老虎，长着牛的尾巴,浮玉山,浙江省,形状像老虎，却长着牛的尾巴，它的声音像曜叫的狗，它的名字叫黄，能吃人,黄是一种吃人的怪兽,吃人,凶猛的象征,兽类,东,山经
状,形状像羊却没有嘴巴,淘山,未知,有 一 种 兽 ， 形 状 像 羊 却 没有 嘴巴 ， 不 吃 东西 而 生活 自如 ， 它 的 名 字 叫 状,形状像羊却没有嘴巴，不吃东西而生活自如,不吃东西而生活自如,神秘生物,兽类,东,山经
串雕,形状像鹏而头上有角,庵吴山,江苏省,有 一 种 曾 ， 名 字 叫 串 雕 ， 形 状 像 鹏 而 头 上 有 角 ， 鸣 叫 的 声音 像 婴儿 啼哭 ， 能 够 吃 人,形状像鹏而头上有角，鸣叫像婴儿啼哭，能吃人,吃人,凶恶生物,混合形态或超自然生物,东,山经
趴如,鸟状，白首、三足、人面,祷过之山,未知,有鸟焉，其状如效，而白首、三足、人面，其名日趴如，其鸣自号也。,有鸟名叫趴如，白首、三足、人面。,鸣声自号,未知,鸟类,东,山经
虎蛟,鱼身蛇尾,滔水,青海省;甘肃省,其中有虎蛟，其状鱼身而蛇尾，其音如鸳叫，食者不肿，可以已峙。,有虎蛟，鱼身蛇尾，叫声像鸳鸯。,食者不肿;可以已峙,疗愈之力;驱邪避灾,鱼类与水生生物,东,山经
凤皇,状如鸡，五彩而文,丹穴之山,湖南省;江西省,有鸟焉，其状如鸡，五采而文，名日凤皇，首文日德，翼文目义，背文日礼，唐文日仁，腹文日信。,有鸟名叫凤皇，状如鸡，五彩斑斓。,饮食自然;自歌自钴;见则天下安宁,天下安宁,鸟类,东,山经
能鱼,状如鱼而莫毛,鸡山,山东省,其中有能鱼，其状如鱼而莫毛，其音如豚，见则天下大旱。,有能鱼，状如鱼而无毛，叫声像猪。,见则天下大旱,大旱之兆,鱼类与水生生物,东,山经
烦,状如提，人面四目有耳,谷赵山,河北省;山西省,"有鸟焉, 其状如提, 人面四目而 有耳, 其名日烦",有一种鸟，形状像提，人面四目有耳，名叫烦,见则天下大旱,预示干旱,鸟类,中,山经
昌自蔚,状如载而赤理，其汗如漆,昌仑者之山,青海省,"有木焉,其状如载而赤理，其汗如漆，其味如怡，食者不似，可以释劳僻",有一种树，形状像载，红色纹理，汗如漆，味道如怡,食者不似;可以释劳僻,解疲劳,混合形态或超自然生物,东,山经
龙身人面神,龙身而人面,南次三经之首,湖南省,其神皆龙身而人面,这些神都是龙身人面,未知,守护神,混合形态或超自然生物,南,山经
瞿如,形状像效，白脑袋，三只足，人的脸,祷过山,河南省;山东省,有一种乌，形状像效，却是白脑袋，三只足，人的脸，它的名字叫瞿如,瞿如鸟，形似效，白首三足，人脸,鸣叫声音与名字相同,不详,鸟类,南,山经
铸鱼,形状象鲫鱼，长着猪的尾巴,鸡山,河南省;山东省,水 里 产 有 一 种 叫做 铸 鱼 的 鱼 类 ， 形 状 象 鲫鱼 ， 却 长 着 猪 的 尾巴 ， 鸣 叫 的 声音 像 小 猪 ， 只 要 它 一 出 现 天 下 就 会 发 生 大 旱灾 。,铸鱼出现会导致大旱灾,导致大旱灾,旱灾的预兆,鱼类与水生生物,东,山经
赐,形状像巢，人脸，四只眼睛，一对耳杀,令丘山,山东省;河南省,"有 一 种 乌 , 形状 像 巢 ， 人 的 脸 , 四 只 眼睛 ， 还 长 着 一 对 耳 杀 ， 它 的 名 字 叫 赐 ， 它 鸣叫 的 声音 和 它 的 名 字 相 同 ， 它 一 出 现 天 下 就 会 发 生 大 旱灾 。",赐出现会导致大旱灾,导致大旱灾,旱灾的预兆,鸟类,东,山经
白益,形状像构树，有红色纹理，汁水像漆,仑者山,云南省;四川省,有 一 种 树 ， 形 状 像 构 树 而 有 红色 的 纹理 ， 树 身 流 出 的 汁 水 像 漆 ， 它 的 味道 像 糖 桨 ， 吃 了 可 以 不 饥 饿 ， 又 可 以 使 人 忘记 忧愁 ， 它 的 名 字 叫 白 益 ， 可 以 用 来 染 玉石 。,白益树汁可食用，能染玉石,不饥饿;忘记忧愁;染玉石,神奇植物,混合形态或超自然生物,东,山经
风皇,未详细描述,佐水一带,河南省;山西省,沿水一带有风皇、酋雏,佐水一带生活着风皇和酋雏,未描述,未描述,混合形态或超自然生物,南,山经
酋雏,未详细描述,佐水一带,陕西省,沿水一带有风皇、酋雏,佐水一带生活着风皇和酋雏,未描述,未描述,混合形态或超自然生物,南,山经
减羊,状如羊而马尾,旧钱来之山,山东省,有兽鼻，其状如羊而马尾，名日减羊,有一种兽，形状像羊但有马尾，名叫减羊,其脂可以已腊,未描述,兽类,西,山经
蝙渠,状如山鸡，黑身赤足,松果之山,河南省;陕西省,"有鸟焉,其名目蝙渠,其状如山鸡，黑身赤足",有一种鸟，名叫蝙渠，形状像山鸡，黑身红脚,可以已腺,未描述,鸟类,西,山经
肥蜂,六足四翼,太华之山,陕西省,有蛇需，名日肥蜂，六足四翼,有一种蛇，名叫肥蜂，有六只脚和四只翅膀,兄则天下太旱,未描述,爬行与蛇类,西,山经
赤警,未详细描述,小华之山,陕西省,鸟多赤警，可以御火,有很多赤警鸟，可以抵御火灾,可以御火,未描述,鸟类,西,山经
葱爷,未详细描述,符昌之山,青海省;四川省,其兽多葱爷,符昌之山有很多葱爷兽,未描述,未描述,兽类,西,山经
肥遗,状如葛，黄身而赤哮,英山,湖北省,有鸟下，其状如葛，黄身而赤哮，其名日肥遗，食之已病党，可以杀虫。,肥遗鸟，黄身红嘴，食之可治病杀虫。,治病;杀虫,治病杀虫,鸟类,西,山经
豪艺司,状如豚而白毛，大如和而黑端屏,竹山,湖北省,有兽需，其状如豚而白毛，大如和而黑端屏，名昌豪艺司。,豪艺司兽，形似猪，白毛黑尾。,未知,未知,兽类,西,山经
枫,状如晶而长臂，善投,芥次之山,山西省;山东省;河南省,有兽看，其状如晶而长臂，善投，其名日枫。,枫兽，形似晶石，长臂善投。,善投,未知,兽类,西,山经
史,人面一足，形状如泉,时山,陕西省;四川省,有鸟焉，其状如泉，人面而一足，名曰史,形状如泉，人面一足的鸟,冬见夏热;服之不旦雷,未知,鸟类,西,山经
猛豹,未知,南山,湖南省;江西省;广东省,兽多猛豹,南山多猛豹,未知,未知,兽类,西,山经
尸约,未知,南山,湖南省;江西省;广东省,鸟多尸约,南山多尸约鸟,未知,未知,鸟类,西,山经
白翰,未知,峰家之山,四川省;云南省;青海省,鸟多白翰,峰家之山多白翰鸟,未知,未知,鸟类,西,山经
赤敬,未知,峰家之山,四川省;云南省,鸟多赤敬,峰家之山多赤敬鸟,未知,未知,鸟类,西,山经
背艺,其叶如草，其本如桔梗，黑华而不实,峰家之山,山西省;陕西省,有草下，其叶如草，其本如桔梗，黑华而不实，名曰背艺,形状如草，黑花不实的草,食之使人无子,未知,混合形态或超自然生物,西,山经
峪边,状如狗,天帝之山,青海省,有兽盐，其状如狗，名曰峪边,形状如狗的兽,席其皮者不串,未知,兽类,西,山经
标,状如总，黑文而赤翁,天帝之山,青海省,有乌焉，其状如总，黑文而赤翁，名曰标,形状如总，黑文赤翁的鸟,食之已将,未知,鸟类,西,山经
杜衡,状如葵，其臭如蘑芜,天帝之山,陕西省;河南省,有草盐，其状如葵，其臭如蘑芜，名曰杜衡,形状如葵，气味如蘑芜的草,可以走马避;食之已瘦,未知,混合形态或超自然生物,西,山经
鼻,白石,皋涂之山,甘肃省;陕西省,有白石下，其名曰鼻,名为鼻的白石,可以毒鼠,未知,混合形态或超自然生物,西南,山经
无条,状如豪攻，其叶如葵而赤背,皋涂之山,甘肃省;陕西省,有草需，其状如豪攻，其叶如葵而赤背，名曰无条,形状如豪攻，叶如葵赤背的草,可以毒记,毒草;赤叶,混合形态或超自然生物,西南,山经
鹿状兽,状如鹿而白尾，马足,皋涂之山,青海省;四川省;云南省,有兽需，其状如鹿而白尾，马足,形状如鹿，白尾马足的兽,未知,未知,兽类,西南,山经
独如,人形，有四角,黄山,安徽省,人 手 而 四 角 ， 名 目 独 如,人形，有四角，名叫独如,无,未知,混合形态或超自然生物,西,山经
上数斯,形状像枫树，有人足,黄山,安徽省,有 鸟 焉 ， 其 状 如 枫 而 人 足 ， 名 上 数 斯,有鸟，形状像枫树，有人足，名叫上数斯,食之已瘦,未知,鸟类,西,山经
昌筝,形状像牛，苍黑色，大目,黄山,安徽省,有 兽 看 ， 其 状 如 牛 ， 而 苍 黑 大 目 ， 其 名 昌 筝,有兽，形状像牛，苍黑色，大目，名叫昌筝,无,未知,兽类,西,山经
网欧忆,形状像约，青羽赤喉，人舌能言,黄山,安徽省,有 鸟 焉 ， 其 状 如 约 ， 青 羽 赤 喉 ， 人 舌 能 言 ， 名 日 网 欧 忆,有鸟，形状像约，青羽赤喉，人舌能言，名叫网欧忆,能言,能言善辩;青赤之象,鸟类,西,山经
鹏,赤黑色，两首四足,上殿山,河南省;陕西省,其 乌 多 鹏; ， 其 状 如 前 ， 赤 黑 而 两 首 四 足,有鸟叫鹏，赤黑色，两首四足,可以御火,御火之能;双首异象,鸟类,西,山经
人鱼,如鲜鱼四脚,海内北经及海外西经,辽宁省;河北省;山东省,如鲜鱼四脚,像鲜鱼但有四只脚,未知,未知,鱼类与水生生物,西,海内经
豪猪,大如敌而黑端,未知,云南省;贵州省;四川省,大如敌而黑端,大小如敌，黑色尖端,以毛射物,未知,兽类,未知,未知
无伤,机叶有刺,未知,未知,机叶有刺,叶子有刺,能伤人,伤害之力;锐利之象,未知,未知,未知
芒芜,香草,未知,河南省;安徽省,萨范，香草,香草，气味如兰,未知,未知,未知,未知,未知
尸鸠,布谷类,未知,青海省;山东省,尸鸠，布谷类也,尸鸠是布谷鸟的一种,未知,未知,鸟类,未知,未知
豪葵,香草,青要之山,山东省,豪葵，香草。,豪葵是一种香草。,无,象征香气,植物,中,山经
由,未知,未知,未知,其名曰由，可以毒鼠。,名叫由，可以毒杀老鼠。,毒鼠,象征毒杀,混合形态或超自然生物,未知,未知
鹦鹉,未知,未知,山东省,鹦骸，即鹦鹉。,鹦骸就是鹦鹉。,无,象征鸟类,鸟类,未知,未知
靡,似铬而小，有香气,山崖间,四川省;云南省,靡似铬而小，有香,靡像铬但较小，有香气,无,未知,混合形态或超自然生物,未知,未知
闫羊,形状像羊，长着马的尾巴,钱来山,青海省;四川省,形状像羊，却长着马的尾巴，名叫闫羊，它的油脂可以润泽和干久的皮肤,形状像羊，长着马的尾巴，油脂可润泽皮肤,油脂可润泽皮肤,润泽皮肤,兽类,西,山经
蚁渠,形状像山鸡，黑身子，红足爪,松果山,陕西省;甘肃省,形状像山鸡，黑身子，红足爪，可以拿它来治皮肤起皱,形状像山鸡，黑身红爪，可治皮肤起皱,治皮肤起皱,治疗皮肤,鸟类,西,山经
尾牛,体重千斤,小华山,陕西省,所产的兽大都是体重千斤的尾牛,体重千斤的尾牛,无,力量象征,兽类,西,山经
示警,未知,小华山,陕西省,所产鸟多是示警，可以养了来防御火灾,可防御火灾的鸟,防御火灾,防火象征,鸟类,西,山经
草蕊,形状像乌非，生在石头上，攀缘树干,小华山,陕西省,形状像乌非，生在石头上，也攀缘树干而生，吃了它可以治心痛病,形状像乌非，可治心痛,治心痛病,治疗心痛,植物,西,山经
文莽,果实像束子,符遇山,陕西省,它的果实像束子，可以医治耳营,果实像束子，可治耳病,医治耳病,治疗耳病,植物,西,山经
芍克,形状像羊，长有红色晨毛,符遇山,福建省;黑龙江省,所产兽多是芍克，形状像羊而长有红色的晨毛,符遇山上有一种兽，形状像羊，毛色红,无特殊能力描述,未知,兽类,北,山经
鸥乌,形状像法鸟，红嘴壳,符遇山,未知,所产鸟多是鸥乌，形状像法鸟，却是红嘴壳,符遇山上有一种鸟，形状像法鸟，嘴壳红色,可以养了来防御火灾,防御火灾,鸟类,北,山经
黄董,形状像楼树，叶子像麻叶，白花，红果实，果实紫红色,竹山,湖南省,有一种草，它的名字叫黄董，形状像楼树，叶子像麻叶，白的花，红的果实，果实的颜色是紫红色,竹山上有一种草，形状像楼树，叶子像麻叶，白花红果,拿它来洗澡可以消除病疮;可以消除肿瘤,消除疾病,植物,北,山经
时,形状像母猴，长有长长臂膊,痊次山,山西省;陕西省,形状像母猴却长有长长的臂膊，善于投掷，名字叫时,形似母猴，长臂善投掷,善于投掷,无特殊象征,兽类,西,山经
带一,形状像泉鸟，人脸，一只足,痊次山,青海省;新疆维吾尔自治区;西藏自治区,形状像泉鸟，人的脸，一只足，名字叫带一，冬天出现，夏天垫伏,形似泉鸟，人脸独足，冬现夏伏,佩带其毛羽可不怕打雷,避雷,鸟类,西,山经
猛鹏,无详细描述,南山,湖南省;江西省;广东省,所产兽多是能够吃蛇和铜铁的猛鹏,能吃蛇和铜铁的猛兽,吃蛇;吃铜铁,凶猛,兽类,西,山经
尸移,无详细描述,南山,湖南省;江西省,所产鸟多是尸移一就是布谷鸟,布谷鸟,无特殊能力,无特殊象征,鸟类,西,山经
犀牛,不详,座山,四川省;云南省,所产兽多是犀牛,座山上的兽类多为犀牛,不详,不详,兽类,东南,山经
邵,不详,座山,湖南省,所产兽多是邵,座山上的兽类多为邵,不详,不详,兽类,东南,山经
狗能,不详,座山,山东省,所产兽多是狗能,座山上的兽类多为狗能,不详,不详,兽类,东南,山经
人能,不详,座山,未知,所产兽多是人能,座山上的兽类多为人能,不详,不详,兽类,东南,山经
白输,不详,座山,青海省;山西省;山东省,所产鸟多是白输,座山上的鸟类多为白输,不详,不详,鸟类,东南,山经
赤览,不详,座山,四川省;云南省,所产鸟多是赤览,座山上的鸟类多为赤览,不详,不详,鸟类,东南,山经
萌蓉,叶像看叶，茎干像桔梗，开黑色花不结果实,座山,山东省;山西省,有一种草，它的叶像看叶，它的茎干像桔梗，开黑色花却不结果实，名叫萌蓉,座山上有一种草，吃了会使人不生孩子,使人不生孩子,不详,植物,东南,山经
愉石,白色石头,皋涂山,青海省,有一种白色石头，名叫愉石，可用来毒杀老鼠,皋涂山上有一种白色石头，可毒杀老鼠,毒杀老鼠,不详,矿物,西南,山经
狼如,形状像庵，白色尾巴，马足，前足像人手，头上有四只角,皋涂山,青海省;四川省,有一种兽，形状像庵，白色尾巴，马足，前足像人手，头上有四只角，名叫狼如,皋涂山上有一种兽，形状奇特,不详,不详,兽类,西南,山经
数斯,形状像露鹰，足像人足,皋涂山,陕西省;甘肃省,有一种鸟，形状像露鹰，足像人足，名叫数斯,皋涂山上有一种鸟，吃了可消除颈疾上的肉瘤,消除颈疾上的肉瘤,不详,鸟类,西南,山经
笔牛,形状像牛，苍黑色，大眼睛,盼水发源的山,云南省;四川省,形状像牛，却是苍黑的颜色，大大的眼睛，名叫笔牛,形状像牛，苍黑色，大眼睛,无,无,兽类,西,山经
鹦巫,形状像约鸟，青色羽毛，红色嘴壳，人样舌头,盼水发源的山,四川省;云南省,形状像约鸟，青色的羽毛，红色的嘴壳，人样的舌头，能够说话，名叫鹦巫,形状像约鸟，青色羽毛，红色嘴壳，能说话,能够说话,无,鸟类,西,山经
黎鸟,形状像喜鹊，通身红黑色，两个脑袋，四只脚,滩山,浙江省;福建省,形状像喜鹊，通身红黑色。两个脑袋，四只脚，养了它可以防御火灾,形状像喜鹊，红黑色，两个脑袋，四只脚,防御火灾,防御火灾,鸟类,西,山经
白蛇,白色蛇类,绰泰冒之山,山东省,多白蛇,有很多白蛇,无,无,爬行与蛇类,西,山经
鹦骼,鸟类,旦数历之山,云南省,其乌多鹦骼,有很多鹦骼鸟,无,无,鸟类,西,山经
百弯鸟,形状像翟鸟，五彩花纹,昌女床之山,河南省;湖北省;山东省,有鸟址，其状如翟而五采文，名上百弯鸟，见则天下安宁,有一种鸟，形状像翟鸟，五彩花纹，名叫百弯鸟，出现则天下安宁,预示天下安宁,和平象征,鸟类,西,山经
百锅很,形状像雄鸡，人脸,百鹿台之山,山东省,有鸟焉，其状如雄鸡而人面，名百锅很，其鸣自叫也，见则有兵,有一种鸟，形状像雄鸡，人脸，名叫百锅很，鸣叫时自呼其名，出现则有战争,预示战争,战争象征,鸟类,西,山经
朱厌,形状像猿，白首赤足,小次之山,山西省;陕西省,有兽看，其状如猿，而白首赤足，名日朱厌，见则大兵,有一种兽，形状像猿，白首赤足，名叫朱厌，出现则有大战争,预示大战争,战争象征,兽类,西,山经
罗罗,鸟形，食人,莱山,山东省,其鸟多罗罗，是食人,莱山上有许多罗罗鸟，会吃人,食人,凶险,鸟类,西,山经
飞兽之神,人面牛身，四足一臂，操杖,西次二经,青海省;四川省,其七神皆人面牛身，四足而一臂，操杖以行,七位神都是人面牛身，四足一臂，持杖行走,飞行;操杖,神性,混合形态或超自然生物,西,山经
十辈神,人面马身,西次二经,青海省,其十神者，人面而马身,十位神都是人面马身,未知,神性,混合形态或超自然生物,西,山经
抱生,状如雄鸡，人面,未知,未知,"其状如雄鸡而人面，名日抱生,鸣其自叫也",形状像雄鸡，长着人脸，名叫抱生，鸣叫时会自呼其名,鸣叫自呼其名,母性崇拜;未知,混合形态或超自然生物,未知,未知
糜,大如小牛，鹿属,未知,四川省;云南省,廉大如小牛，鹿属也,体型像小牛，属于鹿类,未知,未知,兽类,未知,未知
狗,兽，豹文,未知,山西省;四川省,狗，兽，豹文,狗是一种有豹纹的兽,未知,未知,兽类,未知,未知
弯鸟,形状像山鸡，有五彩色羽毛,女床山,陕西省;河南省,有一种乌，形状像山鸡而有五彩的羽毛，名字叫弯鸟，它一出现天下就会太平,弯鸟出现预示天下太平,预示太平,和平象征,鸟类,西,山经
扣很,形状像雄鸡却长着人的脸,鹿台山,山西省,有一种鸟，形状像雄鸡却长着人的脸，名叫扣很，它的鸣声是自呼其名，只要它一出现就会有战争,扣很出现预示战争,预示战争,战争象征,鸟类,西,山经
举父,状如昌而文臂，豹虎而善投,旧崇寿之山,河南省;陕西省,有兽盐，其状如昌而文臂，豹虎而善投，名曰举父,有一种兽叫举父，形状像昌，有花纹的臂膀，像豹虎一样善于投掷,善投,力量象征;投掷技艺,兽类,西,山经
蛮诸,状如锡，一翼一目，相得乃飞,旧崇寿之山,河南省,有鸟下，其状如锡，而一翼一目，相得乃飞，名曰蛮诸,有一种鸟叫蛮诸，形状像锡，只有一翼一目，相得才能飞,见则天下大水,水灾的预兆,鸟类,西,山经
钦秒,状如雕，黑文白首，赤喙虎爪,钟山,江苏省,钦秒化为大嗜，其状如雕而黑文白首，赤喙而虎爪，其音如晨扑,钦秒变成大雕，黑纹白头，红嘴虎爪,见则有大兵,战争征兆,混合形态或超自然生物,东,山经
鼓,状如柳，赤足直喙，黄文白首,钟山,陕西省,鼓亦化为钢鸟，其状如柳，赤足而直喙，黄文而白首,鼓变成钢鸟，赤足直喙，黄纹白头,见即其昌大旱,干旱征兆,混合形态或超自然生物,东,山经
文鳃鱼,状如鲤鱼，鱼身鸟翼，苍文白首赤喙,泰器之山,陕西省;甘肃省,是多文鳃鱼，状如鲤鱼，鱼身而鸟翼，苍文而白首赤喙,文鳃鱼像鲤鱼，鱼身鸟翼，苍纹白头红嘴,以夜飞;食之已狂;见则天下大入,吉祥征兆,鱼类与水生生物,西,山经
英招,马身人面，虎文鸟翼,槐江之山,江西省;湖南省,神英招司之，其状马身而人面，虎文而鸟翼,英招神马身人面，虎纹鸟翼,衔于四海,守护神,混合形态或超自然生物,西,山经
天神,状如牛，八足二首马尾,槐江之山,未知,有天神赴，其状如牛，而八足二首马尾,天神像牛，八足二首马尾,见则其昌有兵,战争征兆,混合形态或超自然生物,东,山经
陆吾,虎身九尾，人面虎爪,昆仑之丘,青海省,神陆吾司之，其神状虎身而九尾，人面而虎爪,陆吾神虎身九尾，人面虎爪,司天,守护神,混合形态或超自然生物,西南,山经
土炎,状如羊而四角,未知,云南省;四川省,有兽看，其状如羊而四角，名日土炎，是食人。,形状像羊但有四角，名叫土炎，会吃人。,食人,凶兽,兽类,未知,未知
钦原,状如玄鸟，大如锣俘,未知,青海省,有鸟再，其状如玄，大如锣俘，名上曰钦原，萤鸟兽则死，芝木则枯。,形状像玄鸟，大小如锣俘，名叫钦原，触碰鸟兽则死，草木则枯。,触碰鸟兽则死;触碰草木则枯,死亡与枯萎,鸟类,未知,未知
竟鸟,未知,未知,未知,有鸟焉，其名日竟鸟，是司帝之百服。,名叫竟鸟，掌管帝王的服饰。,司帝之百服,掌管服饰,鸟类,未知,未知
狭,状如犬而豹文，角如牛,未知,未知,有兽硕，其状如犬而豹文，其角如牛，其名日狭，甚音如嘱犬，见则其国大入。,形状像犬但有豹纹，角如牛，名叫狭，叫声像犬，出现则国家大乱。,见则其国大乱,国家动乱,兽类,未知,未知
